,required_skills
0,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
1,"python  ,  database  ,  django  ,  team player  ,  sql"
2,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
3,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
4,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
5,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
6,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
7,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
8,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
9,"python  ,  scala  ,  sql  ,  written communication  ,  devops  ,  technical skills"
10,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
11,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
12,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
13,"python  ,  css  ,  django  ,  html  ,  machine learning  ,  artificial intelligence  ,  javascript"
14,"python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling"
15,"algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql"
16,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript"
17,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets"
18,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash"
19,"rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql"
20,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java"
21,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
22,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
23,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
24,"python  ,  database  ,  django  ,  git  ,  html5  ,  debugging  ,  javascript  ,  jquery"
25,"python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript"
26,"python  ,  database  ,  django  ,  team player  ,  sql"
27,"python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery"
28,"python  ,  sql  ,  django  ,  postgresql  ,  written communication  ,  api  ,  angularjs"
29,"rest  ,  python  ,  information technology  ,  svn  ,  hibernate  ,  spring boot  ,  django  ,  git  ,  java  ,  mvc"
30,"algorithms  ,  python  ,  rest api  ,  sql  ,  database  ,  django  ,  postgresql  ,  mysql  ,  data structures  ,  service oriented architecture  ,  api  ,  forms"
31,"html5  ,  oop  ,  security  ,  postgresql  ,  mysql  ,  rest  ,  python  ,  javascript  ,  django  ,  soap"
32,"html5  ,  storage  ,  python  ,  javascript  ,  django  ,  infrastructure"
33,"python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning"
34,"python  ,  scala  ,  sql  ,  written communication  ,  devops  ,  technical skills"
35,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
36,"python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv"
37,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
38,"python  ,  css  ,  django  ,  html  ,  machine learning  ,  artificial intelligence  ,  javascript"
39,"python  ,  database  ,  django  ,  neo4j  ,  mining  ,  web crawling"
40,"algorithms  ,  python  ,  django  ,  database programming  ,  oops  ,  web technologies  ,  debugging  ,  mysql"
41,"python  ,  django  ,  git  ,  html5  ,  debugging  ,  svn  ,  javascript"
42,"python  ,  webrtc  ,  html5  ,  javascript  ,  database  ,  django  ,  postgresql  ,  linux  ,  debugging  ,  sockets"
43,"python  ,  css  ,  machine learning  ,  artificial intelligence  ,  javascript  ,  sql  ,  django  ,  html  ,  dash"
44,"rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql"
45,"python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java"
46,"rest  ,  python  ,  github  ,  nosql  ,  sql  ,  django  ,  api  ,  mongodb  ,  soap"
47,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  nosql  ,  security  ,  django  ,  git  ,  oops  ,  mysql"
48,"algorithms  ,  python  ,  css  ,  natural language processing  ,  problem solving  ,  team player  ,  machine learning  ,  ajax  ,  javascript  ,  jquery  ,  database  ,  postgresql  ,  xml  ,  message queue  ,  debugging  ,  data structures  ,  mysql  ,  html  ,  api"
